id,nombre
11999,La Pampa
12001,Capital
12002,Sanagasta
12003,Castro Barros
12004,Arauco
12005,San Blas de los Sauces
12006,Chilecito
12007,Famatina
12008,Felipe Varela
12009,General Lamadrid
12010,Vinchina
12011,Independencia
12012,Chamical
12013,Angel Vicente Peñaloza
12014,General Belgrano
12015,Juan Facundo Quiroga
12016,General Ortiz de Ocampo
12017,Rosario Vera Peñaloza
12018,General San Martín
12999,La Rioja
13001,Capital
13002,Godoy Cruz
13003,Guaymallén
13004,Las Heras
13005,Lavalle
13006,Maipú
13007,Luján
13008,Tupungato
13009,San Martín
13010,Junín
13011,Rivadavia
13012,Tunuyán
13013,San Carlos
13014,Santa Rosa
13015,La Paz
13016,San Rafael
13017,Malargue
13018,General Alvear
13999,Mendoza
14001,Capital
14002,Apóstoles
14003,Candelaria
14004,Leandro N. Alem
14005,Concepción de la Sierra
14006,San Javier
14007,San Ignacio
14008,Oberá
14009,L. General San Martín
14010,Cainguas
14011,25 de Mayo
14012,Montecarlo
14013,Guaraní
14014,El Dorado
14015,San Pedro
14016,Iguazú
14017,Gral. Manuel Belgrano
14999,Misiones
15001,Confluencia
15002,Zapala
15003,Añelo
15004,Pehuenches
15005,Chos Malal
15006,Minas
15007,Ñorquín
15008,Loncopué
15009,Picunches
15010,Aluminé
15011,Catan Lil
15012,Picún Leufú
15013,Collon Curá
15014,Huiliches
15015,Lácar
15016,Los Lagos
15999,Neuquén
16001,Adolfo Alsina
16002,Conesa
16003,San Antonio Oeste
16004,Valcheta
16005,Nueve de Julio
16006,25 de Mayo
16007,Ñorquinco
16008,Pilcaniyeu
16009,Bariloche
16010,Pichi Mahuida
16011,Avellaneda
16012,General Roca
16013,El Cuy
16999,Río Negro
17001,Capital
17002,La Caldera
17003,General Güemes
17004,Metán
17005,Anta
17006,Rivadavia
17007,Orán
17008,San Martín
17009,Iruya
17010,Santa Victoria
17011,Cerrillos
17012,Chicoana
17013,La Viña
17014,Guachipas
17015,Rosario de la Frontera
17016,La Candelaria
17017,Cafayate
17018,San Carlos
17019,Molinos
17020,Cachi
17021,Rosario de Lerma
17022,La Poma
17023,Los Andes
17999,Salta
18001,Capital
18002,Santa Lucía
18003,Chimbas
18004,Rivadavia
18005,Zonda
18006,Rawson
18007,Nueve de Julio
18008,San Martín
18009,Angaco
18010,Albardón
18011,Ullúm
18012,Pocito
18013,Sarmiento
18014,25 de Mayo
18015,Caucete
18016,Valle Fértil
18017,Jáchal
18018,Iglesia
18019,Calingasta
18999,San Juan
19001,Capital
19002,Pringles
19003,Pedernera
19004,Chacabuco
19005,San Martín
19006,Junín
19007,Ayacucho
19008,Belgrano
19009,Gobernador Dupuy
19999,San Luis
20001,Deseado
20002,Lago Buenos Aires
20003,Magallanes
20004,Río Chico
20005,Corpen Aike
20006,Lago Argentino
20007,Güer Aike
